cells,UMAP1,UMAP2
CY89NEG_F07_S67_comb,7.980517,16.13507
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb,10.357556,16.09255
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb,8.999123,13.518808
cy82_CD45_pos_2_B03_S495_comb,12.050851,13.062163
cy78_CD45_neg_1_A04_S484_comb,5.7787213,15.799158
Cy81_FNA_CD45_C05_S317_comb,9.95528,10.496698
Cy80_II_CD45_B01_S877_comb,9.271628,13.238415
CY89CORE11_E10_S154_comb,7.970407,17.126799
cy81_Bulk_CD45_neg_E02_S146_comb,9.909726,10.509225
cy80_CD45_neg_A05_S869_comb,10.046043,15.155449
cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb,11.199127,15.893972
cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb,11.477914,16.428022
CY89NEG_E06_S54_comb,7.6718664,17.007862
cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb,10.457727,16.933455
CY88_3_A10_S586_comb,7.2727113,15.254581
CY88CD45POS_7_C07_S223_comb,10.114475,13.544122
CY89FNAQ2_G07_S463_comb,7.5857697,16.66927
cy80_CD45_neg_F05_S929_comb,9.794698,13.389144
Cy81_Bulk_CD45_G12_S180_comb,10.2951975,11.701283
cy81_FNA_CD45_neg_F06_S1026_comb,10.505913,11.129535
cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb,11.193231,16.30111
cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb,9.744191,16.82424
cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb,9.230421,16.191732
cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb,12.154616,16.449303
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb,9.96681,16.981413
cy78_CD45_neg_1_H08_S572_comb,7.754053,14.499952
CY89CORE11_B04_S112_comb,7.659449,16.764078
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb,13.103838,16.713842
cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb,11.256989,16.406359
cy78_CD45_neg_1_F02_S542_comb,6.3399124,16.094389
CY89CORE11_A05_S101_comb,8.617894,16.731974
CY89CORE11_B06_S114_comb,7.4421597,17.115385
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb,10.565254,16.51775
cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb,9.71915,16.638454
cy78_CD45_neg_3_G07_S751_comb,5.525364,15.142662
CY89NEG_A06_S6_comb,7.262768,16.861013
cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb,12.110503,17.165928
Cy81_FNA_CD45_F02_S350_comb,9.806165,11.471001
cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb,10.660144,16.222496
